parameter,mean,sd,ci
beta[10],-0.3056604680880424,0.10139424641887552,NA
beta[10]_lower,NA,NA,-0.505068017205977
beta[10]_upper,NA,NA,-0.10624585893972692
beta[11],0.8164768394596339,0.1075647355123345,NA
beta[11]_lower,NA,NA,0.604128959855778
beta[11]_upper,NA,NA,1.0275064113954768
beta[12],1.223781662360881,0.1244660244270749,NA
beta[12]_lower,NA,NA,0.9853532224957547
beta[12]_upper,NA,NA,1.4820460572431047
beta[13],-0.9620105772169583,0.11192713628867397,NA
beta[13]_lower,NA,NA,-1.1885328569632931
beta[13]_upper,NA,NA,-0.7456840250259177
beta[14],0.5145413510677583,0.09966403763992437,NA
beta[14]_lower,NA,NA,0.3138723521847228
beta[14]_upper,NA,NA,0.7114289771692888
beta[15],-0.6481381032983909,0.10925941324022405,NA
beta[15]_lower,NA,NA,-0.8648947993494013
beta[15]_upper,NA,NA,-0.43373861627397303
beta[1],1.489932764002114,0.13037062177646028,NA
beta[1]_lower,NA,NA,1.2318498786787093
beta[1]_upper,NA,NA,1.7523123115215993
beta[2],-0.6649811885804091,0.10629963144156772,NA
beta[2]_lower,NA,NA,-0.8811417435027782
beta[2]_upper,NA,NA,-0.46356355782222647
beta[3],0.8582935829249807,0.10468601842407353,NA
beta[3]_lower,NA,NA,0.6562635289747857
beta[3]_upper,NA,NA,1.0577599059718008
beta[4],-1.0816517846935365,0.11408392561341393,NA
beta[4]_lower,NA,NA,-1.3183364536305262
beta[4]_upper,NA,NA,-0.865444817821026
beta[5],0.1233396619835637,0.10098900401514668,NA
beta[5]_lower,NA,NA,-0.07678098004039978
beta[5]_upper,NA,NA,0.32396479004799056
beta[6],0.5632071085383602,0.10251372747311126,NA
beta[6]_lower,NA,NA,0.36832195916477345
beta[6]_upper,NA,NA,0.767152601218955
beta[7],-0.6674933330767864,0.10743127947741768,NA
beta[7]_lower,NA,NA,-0.8810606010391728
beta[7]_upper,NA,NA,-0.4607509384971945
beta[8],-0.04562413499101775,0.101530831891706,NA
beta[8]_lower,NA,NA,-0.2507047030516701
beta[8]_upper,NA,NA,0.15011477434891246
beta[9],0.9751242787380966,0.11233566927335643,NA
beta[9]_lower,NA,NA,0.7644231241935182
beta[9]_upper,NA,NA,1.1955466668899375
beta_0,-0.09387560943608068,0.10011076782373637,NA
beta_0_lower,NA,NA,-0.2871003644178389
beta_0_upper,NA,NA,0.10221173793148669
